index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
comedy_27.jpg2,#dcdbdc',220,219,220,87.50969751,33.92835832,9.823665894,12.50887166,87.04312676,109.8774354,68.60008966,97.86543485,83.41574087,120.4117348,49.68471322,50.64045429,109.0918583,144.1906867,83.65918008,89.71077427,118.0789567, 69.90306279646214]
comedy_7.jpg1,#794f53',121,79,83,42.75791373,24.29667916,43.67269336,64.49454898,46.35319266,89.0097011,61.92739566,114.2963518,83.5504369,139.5507987,49.97462085,86.89405344,79.66154284,128.3294783,82.77212296,58.66366294,105.8360575, 36.986940390563845]
comedy_27.jpg3,#e1b05a',225,176,90,90.32111465,54.99466763,50.87127831,56.73819376,64.29031948,76.76876372,31.93281228,58.07303779,66.50030517,101.0520954,74.26458111,87.08178658,136.0658061,178.1985496,32.78524668,109.8393796,143.45191, 42.357642062031346]
comedy_7.jpg3,#dbd8d8',219,216,216,86.5750015,33.00100369,8.92972611,13.47533974,85.77766708,108.7729404,67.60715078,97.36922537,82.83233604,120.2741939,49.37471903,51.39888433,108.6722674,144.1083463,82.68808917,89.08124151,117.8286363, 68.61173358151618]
comedy_17.jpg3,#41312b',65,49,43,23.72480885,32.93101694,56.51019081,78.59855631,52.4683068,100.557868,61.39295009,118.9464292,76.26648272,136.8514205,46.3561312,90.35469015,82.89746314,136.1610329,91.41826861,68.55590155,120.3896512, 42.811291641029186]
comedy_23.jpg1,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159, 69.91833960114218]
comedy_23.jpg2,#cfb38d',207,179,141,78.10803195,31.49853163,23.80783904,34.76324981,67.174953,90.02942629,44.02898286,79.25468808,68.34605823,109.5605853,52.90586248,66.57598099,115.5350191,156.5908063,59.09010795,92.27985686,126.6454702, 46.56307268751345]
comedy_23.jpg3,#8b676e',139,103,110,49.90688659,16.84317388,34.1242985,54.89529477,53.40520788,92.11188157,62.05806402,111.6054756,82.73998465,136.4363477,45.57498928,78.83466095,81.34998568,127.6196213,82.41285092,60.42464038,104.4795885, 41.92250823548214]
comedy_18.jpg1,#e6e6e6',230,230,230,91.29297261,37.70797237,13.5885723,8.707027763,89.89605823,111.2643411,70.2449919,97.08939541,84.81798164,119.8341555,52.49804278,50.11647875,112.1447008,146.2355788,84.10916648,92.66666443,119.6214591, 72.63814351341091]
comedy_20.jpg1,#deddde',222,221,222,88.21889695,34.63744176,10.53143272,11.8005634,87.54972656,110.1009771,68.97055388,97.79742296,83.76808124,120.4114429,50.24648466,50.59419256,109.5783603,144.4646347,83.76840189,90.16955578,118.2452754, 70.4124729998313]
comedy_20.jpg3,#7580aa',117,128,170,59.38529567,24.36806833,33.88078926,51.91303063,79.91747965,117.1841238,82.52313562,128.6576737,93.80042991,145.0325689,38.46890187,66.2105296,71.45001521,113.7081353,106.1602944,59.65081899,99.62734085, 69.76333153160171]
comedy_20.jpg2,#823c4c',130,60,76,47.57295672,37.19200809,53.49156688,72.54332279,38.23094603,80.99390644,70.63251938,121.5256943,95.64877269,151.2274166,63.5297853,99.48159992,74.51130071,122.1718644,84.64652385,49.59236555,96.67155095, 36.73305523990348]
comedy_19.jpg1,#e0e0df',224,224,223,89.1532918,35.57058065,11.45917912,10.86066796,88.23027919,110.3842481,68.63242041,96.72776193,83.29902589,119.3221221,50.7399991,50.12325874,111.0228705,145.8448968,83.3103748,91.57119236,119.4825565, 70.85266568490674]
