index,['html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
impressionism_6.jpg1,['#dbdbda', (219,219, 218),87.38198471,33.79946295,9.690103913,12.63036408,86.96118816,109.8199274,67.68453629,96.88779969,82.39843679,119.3121672,49.32337209,50.22373229,109.8166535,145.1656222,83.024565,90.43423707,119.0693376, 69.57012440019858]
impressionism_6.jpg2,['#525a43', (82,90, 67),39.70153257,22.0832096,43.26511893,64.70128908,62.52764738,104.8859211,47.12654358,102.8142578,58.58370425,117.288632,31.66685977,72.50353686,97.74887092,148.3765117,83.0249923,82.9286327,130.8685189, 44.660150663921165]
impressionism_6.jpg3,['#87959e', (135,149, 158),61.29870996,10.20195261,18.27011869,39.76171795,76.43388517,111.3436208,64.51125235,108.8132076,75.84832251,125.1392959,28.77113764,54.76501645,90.82004531,133.6851071,90.6508966,75.59415563,114.9893325, 60.563368634632745]
impressionism_7.jpg3,['#a09e81', (160,158, 129),66.5346214,19.44206835,20.72944799,38.88916054,69.09681273,99.63685611,43.99555689,87.20154547,61.40469273,108.7650162,37.96929165,59.13811075,108.4907732,152.3734515,70.25770365,88.91147103,127.8646314, 48.2824768397714]
impressionism_7.jpg2,['#dddcdc', (221,220, 220),87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159, 69.91833960114218]
impressionism_7.jpg1,['#736623', (115,102, 35),57.83237584,39.87728208,51.71719527,68.64393037,54.3122696,88.84006703,22.45072878,79.97800392,49.82750421,104.2206898,53.5685106,84.00317954,118.8037498,168.2384101,58.31705313,98.26070866,142.9872674, 30.421285626806526]
impressionism_24.jpg3,['#dddddb', (221,221, 219),88.07062257,34.49521682,10.41236559,11.98096055,87.33887733,109.8694184,67.6095647,96.30754512,82.33998611,118.8450579,49.85579781,50.15234398,110.6478855,145.8881722,82.72094964,91.18722761,119.6256436, 69.84940748915741]
impressionism_24.jpg2,['#8b754a', (139,117, 74),57.10869136,27.16369017,38.42058965,56.5105702,53.08425494,87.52980485,33.60032323,85.67729699,59.01107375,111.4921683,47.2577056,76.79930028,108.6603131,156.0775537,61.47724774,87.30776042,130.228306, 30.658980866699142]
impressionism_24.jpg1,['#caaf6c', (202,175, 108),81.71621106,42.27378563,38.20926382,46.82319381,66.52014879,86.64702767,31.11800993,65.74727592,59.96006109,99.34096391,60.09551957,73.79362516,127.3692113,170.2100324,47.21473405,103.5049319,139.1455103, 43.43052418772382]
impressionism_23.jpg2,['#dcdbdb', (220,219, 219),87.48241382,33.898582,9.783878343,12.52347963,86.90813466,109.6993733,68.1445314,97.35259701,82.9958146,119.9425929,49.64084955,50.60558263,109.4413353,144.6443957,83.24165176,90.00955904,118.4731519, 69.66300947004659]
impressionism_23.jpg1,['#be5529', (190,85, 41),77.21192367,59.83738439,66.20309625,78.48166863,25.78725747,46.54136592,54.00446122,92.45305896,91.52204721,137.1716221,86.63775084,113.6450501,115.3600409,158.3962211,45.8072951,85.54468208,121.1550213, 17.896319401056378]
impressionism_15.jpg3,['#545929', (84,89, 41),46.27031658,33.42531391,50.30537705,69.79963482,60.05361148,100.1101888,33.7561361,91.67437794,48.69784346,107.818481,41.79270972,78.31320799,110.5878019,161.5883155,73.15584578,93.80789988,141.3083883, 39.0601707089175]
impressionism_15.jpg2,['#858c87', (133,140, 135),57.68855582,5.616011076,20.54141667,42.63436779,70.73767605,106.2813722,55.98301719,102.3957663,69.00524963,119.8542282,28.82975474,57.98667276,94.94197384,139.6630489,83.74519712,78.35620434,119.5366668, 53.293394416540245]
impressionism_15.jpg1,['#cecfcd', (206,207, 205),83.003377,29.43216847,5.408819244,17.04107944,84.03373289,108.6935855,65.0631447,96.94519398,79.72721341,118.7630884,45.67287726,50.35424989,107.3623852,144.1378865,82.27500568,88.22290274,118.7860985, 66.47647911673839]
impressionism_14.jpg3,['#657558', (101,117, 88),50.6557447,19.39358493,35.56090814,55.86335557,67.95736794,106.2497308,42.86990818,95.14510834,53.68558893,109.3633349,28.3334509,63.59065991,104.3440879,152.8329345,79.04290564,88.61887092,133.6946356, 47.707252545963286]
impressionism_27.jpg1,['#b08d55', (176,141, 85),70.21189531,35.96420083,39.12577367,52.7743325,54.80879468,81.10577775,30.42645603,75.28211174,61.55233423,107.7349013,56.96883316,79.0631167,117.7763144,162.6862889,49.75474288,93.86433567,132.6844872, 31.490477041330795]
impressionism_21.jpg1,['#a39145', (163,145, 69),73.62782819,42.77289203,45.68433552,57.9653011,61.96635207,87.15968813,19.49252598,66.62337839,51.20687672,96.66077951,58.04941261,78.35381897,127.3270022,173.3503311,47.95518604,104.6795119,144.4503757, 37.34467892128617]
impressionism_1.jpg1,['#7b6c39', (123,108, 57),55.1410248,31.4278758,44.02112715,62.05654227,53.92519318,89.58485231,29.29448072,84.44059309,54.03363434,108.3216686,47.75748737,78.85660904,111.9072249,160.6086446,61.86726427,91.48199525,135.8108974, 30.84571924111731]
impressionism_1.jpg3,['#dddcd8', (221,220, 216),87.76058683,34.21547334,10.25088364,12.44549138,86.64844852,109.1152764,66.52466797,95.26774832,81.51352046,118.0753558,49.80673174,50.50242285,111.0892054,146.5942641,81.63593967,91.44529571,120.1343129, 68.98994597446936]
impressionism_1.jpg2,['#3d381d', (61,56, 29),29.35599608,35.05483791,57.16843748,78.66550067,54.47190061,100.7778757,49.49409838,108.2522863,63.21401639,124.3511541,44.7125216,87.65996156,96.81474012,149.9301809,84.35141046,82.02728357,132.8350763, 39.71006002060194]
impressionism_14.jpg1,['#9cae9a', (156,174, 154),70.4440959,20.34205764,15.51116722,33.39671919,78.65592567,108.9961913,51.61469405,91.44272036,63.25514943,108.4327462,32.67342509,49.16244214,108.5984704,150.9964554,78.76501212,91.19590077,128.7576714, 58.509987001952695]
impressionism_14.jpg2,['#364133', (54,65, 51),28.18287052,29.3467198,52.58844731,74.57019923,63.78944112,109.8070409,56.10796292,113.4378443,64.58450386,125.4609703,34.29677127,79.35792696,91.51498414,144.2236807,92.44195574,79.6992437,130.3947411, 49.436349018256315]
impressionism_23.jpg3,['#44220f', (68,34, 15),29.78199704,43.39893366,64.85499355,85.95401414,39.34971055,88.80582292,57.62314349,115.2331998,78.25804695,138.2740411,59.90101532,102.1841322,90.45873145,143.5386072,83.3245304,72.48592046,123.6772842, 31.822262071830746]
impressionism_12.jpg2,['#1d191a', (29,25, 26),9.506606473,44.39215236,68.49227526,90.77916385,61.75433177,111.8724267,72.49686022,131.1960592,82.22594109,144.5290678,50.57367132,97.11462425,79.08786809,134.524696,104.9625208,70.5149948,124.634034, 55.33597914040372]
impressionism_12.jpg3,['#c8d8c3', (200,216, 195),85.57808639,33.50647062,14.34333383,19.82335554,87.4407581,111.3810494,58.37891486,87.73808834,70.67073544,107.280686,44.71278568,45.4529946,117.1144675,155.2421799,78.44549383,98.38325213,130.1763316, 67.46512858773256]
impressionism_21.jpg2,['#5b4f1f', (91,79, 31),44.90386397,35.56740463,52.9246246,72.49620929,51.03454338,92.02783312,34.5360169,92.89951515,55.50755876,113.7765582,48.94191888,85.7418771,108.2632673,159.3739831,69.18455322,89.63801584,137.2232319, 30.50309442179446]
impressionism_21.jpg3,['#dcd6c1', (220,214, 193),86.31411029,33.90442101,13.69971206,18.26019103,82.3752559,104.1539545,57.83341987,86.53347865,74.6692848,111.2370692,50.25424383,53.28231255,115.8400585,153.3002871,73.22980044,95.01915319,125.5269596, 63.148931559394654]
impressionism_9.jpg1,['#bb472c', (187,71, 44),75.84628787,60.79901529,68.15542942,80.97485201,20.70166589,44.85778452,60.93519898,100.3977835,97.54656664,144.6341662,88.5272254,116.9234865,109.6162682,152.1163279,53.18429275,79.17156149,114.5981535, 20.747299143758113]
impressionism_9.jpg3,['#dedad8', (222,218, 216),87.32306838,33.76675903,9.763493185,12.81858786,85.83577267,108.3392173,67.07529197,96.22293754,82.53298959,119.5025586,50.14673078,51.64712287,109.8389984,145.2229789,81.75370453,90.0210501,118.5819721, 68.50460060051417]
impressionism_9.jpg2,['#492014', (73,32, 20),30.83811888,43.61243553,64.84052523,85.83302982,37.11374882,86.98704206,60.83554069,117.7340325,82.4024557,142.0490605,61.67976336,103.68394,86.95633239,139.698697,84.31440004,68.22489627,119.3516546, 31.910083585303102]
impressionism_25.jpg1,['#dddbd8', (221,219, 216),87.49837463,33.94000719,9.926770168,12.63566124,86.33233213,108.8752952,66.7914989,95.76696744,81.92873466,118.7054642,49.82822707,50.89334403,110.4739238,145.9407084,81.79216234,90.79334755,119.4581978, 68.8151186257647]
impressionism_25.jpg2,['#d29b53', (210,155, 83),82.50651592,49.0663153,47.97099483,56.9018459,55.50606702,72.27192112,32.43461602,66.88291373,68.22321305,107.9141886,70.69412392,88.13309701,127.603454,170.5349053,36.26876252,101.193209,136.322266, 33.5507502227001]
impressionism_25.jpg3,['#6c2d30', (108,45, 48),41.29788897,40.35086232,58.88596845,78.75715564,32.72852844,79.91562146,65.55492115,118.9435128,90.55368147,147.715999,64.20542301,102.8215894,80.35553518,130.2558111,82.18326256,57.33854287,106.103798, 30.730113805946623]
impressionism_11.jpg3,['#3d5032', (61,80, 50),37.84972322,30.08710468,50.41851994,71.3435681,66.19121559,109.4146036,45.98381279,102.9609343,53.27748824,113.9065348,32.66784115,74.64362153,102.5746559,154.3848713,85.66092166,89.35621104,138.4923971, 48.07513408445187]
impressionism_11.jpg2,['#d3d4d1', (211,212, 209),84.77625174,31.21790425,7.24029565,15.32528342,85.13934452,109.0244505,65.47901608,96.1914254,80.14710757,118.2391553,47.02376526,50.08211539,108.8967284,145.2335856,82.05647842,89.62236295,119.5364271, 67.4798410601369]
impressionism_11.jpg1,['#837555', (131,117, 85),53.48782202,20.03911482,34.18664099,53.96970662,56.58783032,92.93016508,39.37220374,91.22849123,60.26966786,113.844952,40.55325557,72.08760332,103.4212667,150.9565072,68.60961541,83.58597184,127.1968586, 35.88370624768352]
impressionism_17.jpg1,['#483213', (72,50, 19),32.97854542,39.10337997,60.01629438,80.95027481,44.51493797,91.30048861,48.41231329,106.7997483,67.99980373,127.9618212,53.68267108,94.97266345,97.54308086,150.2638727,78.49277306,79.90724722,130.1424003, 30.77527455428917]
impressionism_13.jpg1,['#a0ad6a', (160,173, 106),77.38523198,39.22746705,37.55102495,48.2281041,76.72755709,102.6139844,29.00950338,68.25529858,45.72752423,88.92979481,47.90889402,61.63418152,128.6609008,173.4075701,60.93831547,108.7764235,147.5614011, 52.63807976969381]
impressionism_17.jpg3,['#906d27', (144,109, 39),64.82281726,43.58760777,52.32401807,67.43307553,47.59369231,77.69755347,24.16603761,76.4772062,58.6717489,108.538486,62.25513499,89.73704112,120.3238161,168.0151546,48.20197324,96.81248151,138.9006422, 22.74953951515215]
impressionism_17.jpg2,['#d0be92', (208,190, 146),81.27144917,34.27011033,24.58053649,33.34570336,72.21757329,94.1590183,42.96136052,75.67077796,65.26782053,104.4866696,52.54514537,62.99628375,120.0597499,160.9264338,59.58258968,97.51772311,131.5138926, 50.832017120701146]
